image_id,image_path,row_alignment_score,column_alignment_score,layout_structure_score,notes
img_001,data/diagrams/02_uml.png,0.8600,0.6600,0.7000,"Boxes form clear rows with slightly less consistent columns, resulting in an overall structured but not perfect grid."
img_002,data/diagrams/08-decorator-example-uml.png,0.8200,0.6800,0.7100,"Boxes generally form horizontal rows but column alignment is less precise, producing a mostly but not strongly structured layout."
img_003,data/diagrams/0_High_label_Overlap.png,0.7900,0.6200,0.6600,"Box centres generally align along a few horizontal rows, but column placement is looser with several offsets and irregular column bands."
img_004,data/diagrams/0_WindowsUML.jpg,0.8000,0.6800,0.6800,Several boxes cluster into rows and columns but enough offsets and scattered placements prevent a high grid score.
img_005,data/diagrams/2ndIterationClassDiagram.png,0.8100,0.6700,0.7200,Most boxes are grouped into rows and columns with some visible irregularities and a few outliers.
img_006,data/diagrams/4-gameUML.png,0.8100,0.6200,0.6800,Boxes show fairly good row alignment with some loosely grouped columns and several offsets.
img_007,data/diagrams/4100-ecore_diagram.png,0.7800,0.6500,0.6800,Boxes show some row and column organization but there are noticeable offsets and irregular spacing.
img_008,data/diagrams/7 - Diagrama de Clases (Incluido en documento).png,0.8200,0.6800,0.7300,"Boxes are generally aligned in horizontal rows and vertical columns, but there is moderate drift and some staggered placements."
img_009,data/diagrams/ASEClassDiagram.png,0.8200,0.6800,0.7200,Boxes mostly follow clear rows with noticeable but not severe column drift and a few boxes between bands.
img_010,data/diagrams/ASEE_Class_Diagram_2014_10_31.png,0.8500,0.6600,0.7300,"Boxes form mostly clean rows and some recognizable columns, but there is moderate horizontal variation and a few offsets."
img_011,data/diagrams/ASTObjectUML.png,0.8200,0.6700,0.7000,"Boxes generally form rows with some column structure, but several are staggered or off-grid."
img_012,data/diagrams/AbstractAssetMonteCarloProductClassDiagram.svg.png,0.8600,0.7300,0.7700,"Most boxes form clear rows and columns, though several have modest offsets or spacing irregularities."
img_013,data/diagrams/AbstractFactoryUML.png,0.8000,0.6500,0.7000,Boxes mostly group into rows but columns have more offsets and irregularities.
img_014,data/diagrams/AddressBookUML 2.jpg,0.8100,0.6300,0.6800,"Boxes form some clear rows and columns but multiple are offset, making the grid structure only moderately strong."
